entity_id,entity_name,entity_type,sector,hit_count,first_context
microsoft,Microsoft,company,Software,3,l gain rapid acceptance by 1996 after a rocky start**   - **Microsoft NT Advanced Server sweeps up from the workgroup towards the
peter-kastner,Peter S. Kastner,person,IT Market Research,1,e abilithy of t e thypical compawy tho assimilathe chawge_ Peter S. Kastner Vice President   - **Operating systems**   - **Database man
ent-013,Novell,corporation,information-technology,1,"ing**   - **Making NT servers robust (e.g., OLTP, clusters, Novell migration)**   - **Distribution of applications to second-t"
